"loc_id","latitude","longitude","Prov","region","BlockCode","bcr"
"L19274",53.526,-113.202,"AB","PR","12UUE",11
"L19014",54.13333,-111.56667,"AB","PR","12UVE",6
"L19275",44.7109677,-79.7348746,"ON","ON","17TPK",13
"L19276",42.939,-81.343,"ON","ON","17TMH",13
"L71560",44.91667,-78.716667,"ON","ON","17TPK",12
"L19015",49.352,-123.116,"BC","BC","10UDV",5
"L19277",44.28333,-81.083333,"ON","ON","17TMK",13
"L19016",46.48333,-80.85,"ON","ON","17TNM",12
"L19278",43.88333,-79.733333,"ON","ON","17TPJ",13
"L19018",48.289,-89.288,"ON","ON","16TCU",12
"L19019",44.498342,-76.8568754,"ON","ON","18TUQ",12
"L19033",53.952,-122.761,"BC","BC","10UEE",10
"L19279",44.96667,-75.683333,"ON","ON","18TVQ",13
"L19034",44.4,-76.666667,"ON","ON","18TUQ",13
"L19035",44.45,-79.733333,"ON","ON","17TPK",13
"L19280",47.3607751,-79.7585964,"ON","ON","17TNN",12
"L19036",45.342,-75.889,"ON","ON","18TVR",13
"L19294",49.846,-99.941,"MB","PR","14UMA",11
"L19037",43.159,-79.835,"ON","ON","17TNH",13
"L19038",46.25,-81.766667,"ON","ON","17TMM",12
"L19039",53.526,-113.202,"AB","PR","12UUE",11
"L19295",44.05,-80.75,"ON","ON","17TNJ",13
"L19296",45.58333,-61.916667,"NS","AT","20TNR",14
"L19297",43.12,-79.105,"ON","ON","17TPH",13
"L19298",49.836,-97.107,"MB","PR","14UPA",11
"L19299",45.3527,-66.0911,"NB","AT","19TGL",14
"L19300",45.284,-66.075,"NB","AT","19TGL",14
"L19040",45.0883311,-74.8108757,"ON","ON","18TWQ",13
"L19041",55.1,-105.28333,"SK","PR","13UDB",8
"L19042",50.15,-96.866667,"MB","PR","14UPA",6
"L19043",46.03333,-65.866667,"NB","AT","20TKS",14
"L71561",45.71667,-65.516667,"NB","AT","20TLR",14
"L19301",43.8936789,-78.8211644,"ON","ON","17TPJ",13
"L19044",44.371,-79.686,"ON","ON","17TPK",13
"L19302",49.1880428,-116.5753269,"BC","BC","11UNQ",10
"L19045",55.51667,-116.15,"AB","PR","11UNB",6
"L19046",52.983,-122.503,"BC","BC","10UED",10
"L19061",44.65,-66.85,"NB","AT","19TFK",14
"L71562",44.7063915,-66.8157713,"NB","AT","19TFK",14
"L19062",46.237,-63.129,"PE","AT","20TMS",14
"L19063",44.91667,-75.833333,"ON","ON","18TVQ",13
"L19303",45.36667,-63.266667,"NS","AT","20TMR",14
"L19064",45.28333,-74.85,"ON","ON","18TWR",13
"L19065",44.91667,-79.366667,"ON","ON","17TPK",12
"L19304",43.911,-78.871,"ON","ON","17TPJ",13
"L19066",45.49977,-75.802503,"QC","QC","18TVR",12
"L19067",46.86667,-71.016667,"QC","QC","19TCM",13
"L19068",43.275,-79.966,"ON","ON","17TNH",13
"L19069",45.3,-76.716667,"ON","ON","18TUR",12
"L19305",45.412,-75.634,"ON","ON","18TVR",13
"L19306",44.66667,-63.9,"NS","AT","20TMQ",14
"L19070",48.4,-89.616667,"ON","ON","16TCU",12
"L19307",53.36667,-112.66667,"AB","PR","12UUE",11
"L19322",49.68333,-97.45,"MB","PR","14UPA",11
"L19323",49.245,-122.774,"BC","BC","10UEV",5
"L19071",53.921,-122.827,"BC","BC","10UEE",10
"L19324",45.45,-74.15,"QC","QC","18TWR",13
"L19072",64.05693,-139.0974,"YT","North","07WEM",4
"L19325",52.983,-122.503,"BC","BC","10UED",10
"L19326",43.275,-79.966,"ON","ON","17TNH",13
"L19073",44.371,-79.686,"ON","ON","17TPK",13
"L19074",44.3,-78.55,"ON","ON","17TPK",13
"L19327",44.85299,-78.42091,"ON","ON","17TQK",12
"L19089",54.7770661,-127.16501,"BC","BC","09UXA",10
"L19090",46.443,-80.986,"ON","ON","17TNM",12
"L19328",46.84999,-71.362453,"QC","QC","19TCM",13
"L19091",49.01667,-88.266667,"ON","ON","16UDV",8
"L19329",48.66667,-86.416667,"ON","ON","16TEU",8
"L19092",44.61667,-79.416667,"ON","ON","17TPK",13
"L71563",44.5,-79.466667,"ON","ON","17TPK",13
"L19330",45.957,-66.655,"NB","AT","19TFL",14
"L19094",45.475,-73.426,"QC","QC","18TXR",13
"L19095",49.257,-123.132,"BC","BC","10UDV",5
"L19096",49.18333,-119.55,"BC","BC","11ULQ",9
"L19097",43.96667,-78.166667,"ON","ON","17TQJ",13
"L19098",45.9882,-67.236,"NB","AT","19TFL",14
"L19099",46.4274,-67.717,"NB","AT","19TEM",14
"L71564",46.431705,-67.753973,"NB","AT","19TEM",14
"L19100",45.3,-66.2,"NB","AT","19TGL",14
"L19101",43.23333,-80.15,"ON","ON","17TNH",13
"L19116",45.13333,-75.6,"ON","ON","18TVQ",13
"L19331",49.31667,-124.31667,"BC","BC","10UDV",5
"L19332",55.168,-118.808,"AB","PR","11ULB",6
"L19333",45.293,-66.085,"NB","AT","19TGL",14
"L19117",45.251,-66.101,"NB","AT","19TGL",14
"L19334",45.467,-65.888,"NB","AT","20TKR",14
"L19349",52.464949,-113.7364984,"AB","PR","12UUD",11
"L19118",50.2463027,-117.8115728,"BC","BC","11UMR",10
"L19119",45.53333,-65.85,"NB","AT","20TKR",14
"L71565",45.284,-66.075,"NB","AT","19TGL",14
"L19350",45.284,-66.075,"NB","AT","19TGL",14
"L19120",52.106,-106.596,"SK","PR","13UCT",11
"L19351",49.56667,-114.38333,"AB","PR","11UPQ",10
"L19121",45.256,-71.852,"QC","QC","19TBL",14
"L19122",44.48333,-66.083333,"NS","AT","19TGK",14
"L19123",45.36667,-63.266667,"NS","AT","20TMR",14
"L19352",44.1,-78.95,"ON","ON","17TPJ",13
"L19124",44.56667,-80.433333,"ON","ON","17TNK",13
"L19125",43.95,-78.3,"ON","ON","17TQJ",13
"L19353",43.711,-79.362,"ON","ON","17TPJ",13
"L71566",43.711,-79.362,"ON","ON","17TPJ",13
"L19354",55.91273,-119.82657,"AB","PR","11ULB",6
"L19126",43.868,-79.034,"ON","ON","17TPJ",13
"L19355",43.4,-80.033333,"ON","ON","17TNJ",13
"L19127",44.25,-79.466667,"ON","ON","17TPK",13
"L19356",43.762,-79.198,"ON","ON","17TPJ",13
"L19128",43.88,-79.43,"ON","ON","17TPJ",13
"L19129",43.61667,-80.033333,"ON","ON","17TNJ",13
"L19143",43.49296,-79.982429,"ON","ON","17TNJ",13
"L19144",43.817,-79.369,"ON","ON","17TPJ",13
"L19145",43.88333,-79.733333,"ON","ON","17TPJ",13
"L19146",44.393,-79.667,"ON","ON","17TPK",13
"L19357",45.41667,-80.1,"ON","ON","17TNL",12
"L71567",44.393,-79.667,"ON","ON","17TPK",13
